Disclaimer : Partial study of the solutions that were above 11.3 in the 20210707-125553-env-65-6537855_pop-25600-200_gen-4.json dictionary.
Stopped after a couple hours of running with less than a thousand evaluations of the solutions, from which at least 69 were scoring 11.32.
According to the dictionary, there might be more than 7000 solutions that could score that, if tested.
It might take a bit less than a couple days to run the whole thing, it might not be necessary.

20210708-113652879.out, 11.287144000002641
20210708-113702879.out, 11.320000000002786
20210708-113712879.out, 11.309262000002752
20210708-113722879.out, 11.307738000002754
20210708-113731879.out, 11.313494000002773
20210708-113741879.out, 11.31854400000278
20210708-113750879.out, 11.320000000002786
20210708-113800879.out, 11.319382000002786
20210708-113811879.out, 11.308997000002742
20210708-113821879.out, 11.314390000002776
20210708-113831879.out, 11.312882000002782
20210708-113841879.out, 11.315909000002772
20210708-113850879.out, 11.294885000002678
20210708-113900879.out, 11.307693000002754
20210708-113910879.out, 11.315871000002776
20210708-113920879.out, 11.306607000002751
20210708-113932879.out, 11.308997000002742
20210708-113942879.out, 11.303721000002739
20210708-113952879.out, 11.319313000002781
20210708-114001879.out, 11.307625000002753
20210708-114011879.out, 11.319872000002785
20210708-114021879.out, 11.29979100000269
20210708-114031879.out, 11.309780000002748
20210708-114041879.out, 11.281988000002626
20210708-114052879.out, 11.319872000002785
20210708-114102879.out, 11.319689000002786
20210708-114112879.out, 11.319834000002786
20210708-114122879.out, 11.319887000002785
20210708-114132879.out, 11.282059000002661
20210708-114142879.out, 11.317337000002777
20210708-114152879.out, 11.308884000002742
20210708-114202879.out, 11.312070000002763
20210708-114212879.out, 11.319759000002785
20210708-114222879.out, 11.31518400000277
20210708-114232879.out, 11.318595000002782
20210708-114242879.out, 11.298467000002729
20210708-114252879.out, 11.314224000002778
20210708-114302879.out, 11.319869000002786
20210708-114311879.out, 11.319710000002784
20210708-114321879.out, 11.314390000002776
20210708-114331879.out, 11.318515000002781
20210708-114340879.out, 11.31535000000277
20210708-114350879.out, 11.307354000002752
20210708-114400879.out, 11.315585000002773
20210708-114409879.out, 11.306735000002753
20210708-114420879.out, 11.308348000002752
20210708-114430879.out, 11.320000000002786
20210708-114441879.out, 11.319607000002787
20210708-114452879.out, 11.318866000002783
20210708-114502879.out, 11.306991000002753
20210708-114513879.out, 11.320000000002786
20210708-114524879.out, 11.308945000002755
20210708-114536879.out, 11.307345000002755
20210708-114546879.out, 11.310524000002756
20210708-114556879.out, 11.316326000002777
20210708-114607879.out, 11.318586000002782
20210708-114617879.out, 11.285363000002649
20210708-114628879.out, 11.297234000002708
20210708-114638879.out, 11.320000000002786
20210708-114648879.out, 11.301956000002768
20210708-114659879.out, 11.319548000002785
20210708-114710879.out, 11.28379600000263
20210708-114720879.out, 11.319872000002785
20210708-114730879.out, 11.30558700000278
20210708-114740879.out, 11.315585000002773
20210708-114751879.out, 11.318930000002783
20210708-114802879.out, 11.307593000002754
20210708-114813879.out, 11.314891000002767
20210708-114823879.out, 11.314390000002776
20210708-114833879.out, 11.319834000002786
20210708-114843879.out, 11.320000000002786
20210708-114854879.out, 11.312236000002763
20210708-114904879.out, 11.30003700000276
20210708-114913879.out, 11.315909000002772
20210708-114924879.out, 11.307738000002754
20210708-114933879.out, 11.307625000002753
20210708-114943879.out, 11.308643000002755
20210708-114953879.out, 11.29903600000274
20210708-115003879.out, 11.318866000002783
20210708-115013879.out, 11.30925400000276
20210708-115022879.out, 11.307738000002754
20210708-115033879.out, 11.319834000002786
20210708-115042879.out, 11.313429000002765
20210708-115052879.out, 11.307099000002752
20210708-115102879.out, 11.310295000002766
20210708-115112879.out, 11.309390000002754
20210708-115122879.out, 11.319360000002785
20210708-115133879.out, 11.320000000002786
20210708-115144879.out, 11.305491000002759
20210708-115155879.out, 11.30647200000275
20210708-115205879.out, 11.305520000002746
20210708-115217879.out, 11.319548000002785
20210708-115229879.out, 11.317171000002777
20210708-115241879.out, 11.307738000002754
20210708-115252879.out, 11.299560000002714
20210708-115303879.out, 11.319548000002785
20210708-115313879.out, 11.315457000002773
20210708-115323879.out, 11.320000000002786
20210708-115333879.out, 11.319834000002786
20210708-115343879.out, 11.307738000002754
20210708-115353879.out, 11.318443000002777
20210708-115403879.out, 11.314390000002776
20210708-115413879.out, 11.311340000002758
20210708-115423879.out, 11.296842000002728
20210708-115434879.out, 11.319721000002787
20210708-115447879.out, 11.315871000002776
20210708-115458879.out, 11.319542000002786
20210708-115509879.out, 11.312108000002763
20210708-115519879.out, 11.315710000002777
20210708-115531879.out, 11.314390000002776
20210708-115543879.out, 11.316778000002778
20210708-115553879.out, 11.318979000002782
20210708-115603879.out, 11.303246000002728
20210708-115614879.out, 11.320000000002786
20210708-115624879.out, 11.31838700000278
20210708-115634879.out, 11.315144000002773
20210708-115645879.out, 11.313622000002775
20210708-115655879.out, 11.320000000002786
20210708-115706879.out, 11.319834000002786
20210708-115716879.out, 11.312236000002763
20210708-115727879.out, 11.315585000002773
20210708-115737879.out, 11.29903600000274
20210708-115748879.out, 11.319417000002785
20210708-115759879.out, 11.30982100000275
20210708-115810879.out, 11.30848000000273
20210708-115821879.out, 11.315419000002773
20210708-115833879.out, 11.29887000000274
20210708-115843879.out, 11.307572000002754
20210708-115854879.out, 11.299952000002728
20210708-115905879.out, 11.307572000002754
20210708-115915879.out, 11.27751300000261
20210708-115926879.out, 11.300762000002772
20210708-115936879.out, 11.320000000002786
20210708-115947879.out, 11.320000000002786
20210708-115959879.out, 11.318813000002782
20210708-120010879.out, 11.320000000002786
20210708-120021879.out, 11.319759000002785
20210708-120032879.out, 11.31535000000277
20210708-120042879.out, 11.319872000002785
20210708-120052879.out, 11.30558700000278
20210708-120103879.out, 11.309398000002755
20210708-120114879.out, 11.312236000002763
20210708-120124879.out, 11.314573000002767
20210708-120135879.out, 11.310765000002755
20210708-120144879.out, 11.315741000002776
20210708-120155879.out, 11.311978000002783
20210708-120206879.out, 11.319834000002786
20210708-120217879.out, 11.305194000002777
20210708-120228879.out, 11.319130000002783
20210708-120239879.out, 11.315924000002774
20210708-120249879.out, 11.320000000002786
20210708-120300879.out, 11.316944000002778
20210708-120312879.out, 11.319437000002784
20210708-120323879.out, 11.31535000000277
20210708-120333879.out, 11.317337000002777
20210708-120343879.out, 11.304566000002776
20210708-120355879.out, 11.319834000002786
20210708-120405879.out, 11.300766000002728
20210708-120416879.out, 11.310294000002756
20210708-120427879.out, 11.30471800000274
20210708-120437879.out, 11.317373000002776
20210708-120448879.out, 11.312108000002763
20210708-120500879.out, 11.319834000002786
20210708-120510879.out, 11.191056000002547
20210708-120521879.out, 11.30471800000274
20210708-120531879.out, 11.314390000002776
20210708-120541879.out, 11.2910350000027
20210708-120551879.out, 11.247187000002492
20210708-120605879.out, 11.306372000002781
20210708-120616879.out, 11.31477200000277
20210708-120627879.out, 11.300812000002693
20210708-120636879.out, 11.294921000002713
20210708-120646879.out, 11.309088000002761
20210708-120657879.out, 11.314262000002774
20210708-120707879.out, 11.315909000002772
20210708-120717879.out, 11.306991000002753
20210708-120727879.out, 11.318979000002782
20210708-120737879.out, 11.316944000002778
20210708-120747879.out, 11.311843000002762
20210708-120758879.out, 11.318384000002784
20210708-120808879.out, 11.304446000002734
20210708-120820879.out, 11.314390000002776
20210708-120831879.out, 11.297621000002714
20210708-120843879.out, 11.302281000002768
20210708-120855879.out, 11.320000000002786
20210708-120906879.out, 11.318703000002783
20210708-120918879.out, 11.28921700000273
20210708-120929879.out, 11.31489300000277
20210708-120939879.out, 11.307738000002754
20210708-120949879.out, 11.308997000002742
